PLAYER,2023 TYPE,2023,2024 TYPE,2024,2025 TYPE,2025,2026 TYPE,2026,2027 TYPE,2027,CORE YEARS,,,
A'ja Wilson ,V,"$202,154 ",UFA,,,,,,,,,,,
Kelsey Plum ,V,"$200,000 ",V,"$200,000 ",UFA,,,,,,,,,
Chelsea Gray ,V,"$196,267 ",V,"$196,267 ",UFA,,,,,,,,,
Jackie Young ,V,"$165,000 ",V,"$169,950 ",UFA,,,,,,,,,
Riquna Williams ,U,"$149,350 ",UFA,,,,,,,,,,,
Alysha Clark ,V,"$110,000 ",V,"$110,000 ",UFA,,,,,,,,,
Candace Parker,U,"$100,000 ",UFA,,,,,,,,"2015, 2016, 2017",,,
Kiah Stokes,U,"$81,000 ",UFA,,,,,,,,,,,
Sydney Colson,TC,"$74,305 ",UFA,,,,,,,,,,,
Cayla George,V,"$74,305 ",RFA,,,,,,,,,,,
Kierstan Bell,U,"$67,634 ",U,"$74,398 ",OPT,"$84,543 ",RFA,,,,,,,
Aisha Sheppard,U,"$64,657 ",U,"$71,124 ",OPT,"$80,823 ",RFA,,,,,,,
Courtney Range,TC,"$62,285 ",Reserved,,,,,,,,,,,
Alexis Peterson,TC,"$62,285 ",Reserved,,,,,,,,,,,
Total Salaries (excl. TC),,"$1,410,367 ",,"$821,739 ",,"$165,366 ",,$0 ,,$0 ,,,,
Total Players (excl. TC),,11 ,,6 ,,2 ,,0 ,,0,,,,
Cap Room,,"$10,133 ",,"$641,461 ",,"$1,341,734 ",,"$1,552,300 ",,"$1,598,800 ",,,,
Open Roster Slots,,0 to 1 ,,5 to 6 ,,9 to 10 ,,,,,,,,
Above/Below Minimum,,"$221,377 ",,"-$402,891 ",,"-$1,096,074 ",,"-$1,299,240 ",,"-$1,338,210 ",,,,
Total Guaranteed Salary,,"$947,726 ",,"$676,217 ",,$0 ,,$0 ,,$0 ,,,,
Total Protected Veterans,,6 ,,4 ,,0 ,,0 ,,0,,,,
Open Protected Veteran Slots,,0 ,,2 ,,6 ,,6 ,,6,,,,
Core Player,Available ,,Available ,,Available ,,Available ,,Available,,,,,
2023 Round 3 Pick 12 (36) (LVA),U,"$62,285 ",U,"$63,532 ",U,"$66,710 ",OPT,"$76,240 ",RFA,,,,,
2024 Round 2 Pick ? (?) (LAS),,,U,"$67,249 ",U,"$68,595 ",U,"$75,456 ",OPT,"$85,745 ",,,,
2024 Round 2 Pick ? (?) (LVA),,,U,"$67,249 ",U,"$68,595 ",U,"$75,456 ",OPT,"$85,745 ",,,,
2024 Round 2 Pick ? (?) (WAS),,,U,"$67,249 ",U,"$68,595 ",U,"$75,456 ",OPT,"$85,745 ",,,,
2024 Round 3 Pick ? (?) (LVA),,,U,"$64,154 ",U,"$65,438 ",U,"$68,711 ",OPT,"$78,527 ",,,,
2025 Round 1 Pick ? (?) (LVA),,,,,U,"$??,??? ",U,"$??,??? ",U,"$??,??? ",,,,
2025 Round 2 Pick ? (?) (LVA),,,,,U,"$69,267 ",U,"$70,653 ",U,"$77,720 ",,,,
2025 Round 2 Pick ? (?) (WAS),,,,,U,"$69,267 ",U,"$70,653 ",U,"$77,720 ",,,,
2025 Round 3 Pick ? (?) (LVA),,,,,U,"$66,079 ",U,"$67,401 ",U,"$70,773 ",,,,
,,,,,,,,,,,,,,