Salary Cap Year,Pick,Salary Year 1,Salary Year 2,Option Year 3,Option Year 4
2008,1,"44,064","44,945","49,440","56,182"
2008,2,"44,064","44,945","49,440","56,182"
2008,3,"44,064","44,945","49,440","56,182"
2008,4,"44,064","44,945","49,440","56,182"
2008,5,"40,759","41,574","45,732","51,968"
2008,6,"40,759","41,574","45,732","51,968"
2008,7,"40,759","41,574","45,732","51,968"
2008,8,"40,759","41,574","45,732","51,968"
2008,9,"36,353","37,080","40,788","46,350"
2008,10,"36,353","37,080","40,788","46,350"
2008,11,"36,353","37,080","40,788","46,350"
2008,12,"36,353","37,080","40,788","46,350"
2008,13,"35,000","35,700","39,270","44,625"
2008,14,"35,000","35,700","39,270","44,625"
2008,15,"35,000","35,700","39,270","44,625"
2008,16,"35,000","35,700","39,270","44,625"
2008,17,"35,000","35,700","39,270","44,625"
2008,18,"35,000","35,700","39,270","44,625"
2008,19,"35,000","35,700","39,270","44,625"
2008,20,"35,000","35,700","39,270","44,625"
2008,21,"35,000","35,700","39,270","44,625"
2008,22,"35,000","35,700","39,270","44,625"
2008,23,"35,000","35,700","39,270","44,625"
2008,24,"35,000","35,700","39,270","44,625"
2008,25,"34,500","35,190","36,950","42,229"
2008,26,"34,500","35,190","36,950","42,229"
2008,27,"34,500","35,190","36,950","42,229"
2008,28,"34,500","35,190","36,950","42,229"
2008,29,"34,500","35,190","36,950","42,229"
2008,30,"34,500","35,190","36,950","42,229"
2009,1,"44,945","45,844","50,429","57,305"
2009,2,"44,945","45,844","50,429","57,305"
2009,3,"44,945","45,844","50,429","57,305"
2009,4,"44,945","45,844","50,429","57,305"
2009,5,"37,080","37,821","41,604","47,277"
2009,6,"37,080","37,821","41,604","47,277"
2009,7,"37,080","37,821","41,604","47,277"
2009,8,"37,080","37,821","41,604","47,277"
2009,9,"37,080","37,821","41,604","47,277"
2009,10,"37,080","37,821","41,604","47,277"
2009,11,"37,080","37,821","41,604","47,277"
2009,12,"37,080","37,821","41,604","47,277"
2009,13,"35,700","36,414","40,055","45,518"
2009,14,"35,700","36,414","40,055","45,518"
2009,15,"35,700","36,414","40,055","45,518"
2009,16,"35,700","36,414","40,055","45,518"
2009,17,"35,700","36,414","40,055","45,518"
2009,18,"35,700","36,414","40,055","45,518"
2009,19,"35,700","36,414","40,055","45,518"
2009,20,"35,700","36,414","40,055","45,518"
2009,21,"35,700","36,414","40,055","45,518"
2009,22,"35,700","36,414","40,055","45,518"
2009,23,"35,700","36,414","40,055","45,518"
2009,24,"35,700","36,414","40,055","45,518"
2009,25,"35,190","35,894","37,689","43,073"
2009,26,"35,190","35,894","37,689","43,073"
2009,27,"35,190","35,894","37,689","43,073"
2009,28,"35,190","35,894","37,689","43,073"
2009,29,"35,190","35,894","37,689","43,073"
2009,30,"35,190","35,894","37,689","43,073"
2009,31,"35,190","35,894","37,689","43,073"
2009,32,"35,190","35,894","37,689","43,073"
2009,33,"35,190","35,894","37,689","43,073"
2009,34,"35,190","35,894","37,689","43,073"
2009,35,"35,190","35,894","37,689","43,073"
2009,36,"35,190","35,894","37,689","43,073"
2010,1,"45,827","46,743","51,417","58,429"
2010,2,"45,827","46,743","51,417","58,429"
2010,3,"45,827","46,743","51,417","58,429"
2010,4,"45,827","46,743","51,417","58,429"
2010,5,"42,390","43,237","47,561","54,047"
2010,6,"42,390","43,237","47,561","54,047"
2010,7,"42,390","43,237","47,561","54,047"
2010,8,"42,390","43,237","47,561","54,047"
2010,9,"37,807","38,563","42,419","48,204"
2010,10,"37,807","38,563","42,419","48,204"
2010,11,"37,807","38,563","42,419","48,204"
2010,12,"37,807","38,563","42,419","48,204"
2010,13,"36,400","37,128","40,841","46,410"
2010,14,"36,400","37,128","40,841","46,410"
2010,15,"36,400","37,128","40,841","46,410"
2010,16,"36,400","37,128","40,841","46,410"
2010,17,"36,400","37,128","40,841","46,410"
2010,18,"36,400","37,128","40,841","46,410"
2010,19,"36,400","37,128","40,841","46,410"
2010,20,"36,400","37,128","40,841","46,410"
2010,21,"36,400","37,128","40,841","46,410"
2010,22,"36,400","37,128","40,841","46,410"
2010,23,"36,400","37,128","40,841","46,410"
2010,24,"36,400","37,128","40,841","46,410"
2010,25,"35,880","36,598","38,428","43,918"
2010,26,"35,880","36,598","38,428","43,918"
2010,27,"35,880","36,598","38,428","43,918"
2010,28,"35,880","36,598","38,428","43,918"
2010,29,"35,880","36,598","38,428","43,918"
2010,30,"35,880","36,598","38,428","43,918"
2010,31,"35,880","36,598","38,428","43,918"
2010,32,"35,880","36,598","38,428","43,918"
2010,33,"35,880","36,598","38,428","43,918"
2010,34,"35,880","36,598","38,428","43,918"
2010,35,"35,880","36,598","38,428","43,918"
2010,36,"35,880","36,598","38,428","43,918"
2011,1,"46,708","47,642","52,406","59,552"
2011,2,"46,708","47,642","52,406","59,552"
2011,3,"46,708","47,642","52,406","59,552"
2011,4,"46,708","47,642","52,406","59,552"
2011,5,"43,205","44,069","48,476","55,086"
2011,6,"43,205","44,069","48,476","55,086"
2011,7,"43,205","44,069","48,476","55,086"
2011,8,"43,205","44,069","48,476","55,086"
2011,9,"38,534","39,305","43,235","49,131"
2011,10,"38,534","39,305","43,235","49,131"
2011,11,"38,534","39,305","43,235","49,131"
2011,12,"38,534","39,305","43,235","49,131"
2011,13,"37,100","37,842","41,626","47,303"
2011,14,"37,100","37,842","41,626","47,303"
2011,15,"37,100","37,842","41,626","47,303"
2011,16,"37,100","37,842","41,626","47,303"
2011,17,"37,100","37,842","41,626","47,303"
2011,18,"37,100","37,842","41,626","47,303"
2011,19,"37,100","37,842","41,626","47,303"
2011,20,"37,100","37,842","41,626","47,303"
2011,21,"37,100","37,842","41,626","47,303"
2011,22,"37,100","37,842","41,626","47,303"
2011,23,"37,100","37,842","41,626","47,303"
2011,24,"37,100","37,842","41,626","47,303"
2011,25,"36,570","37,301","39,166","44,761"
2011,26,"36,570","37,301","39,166","44,761"
2011,27,"36,570","37,301","39,166","44,761"
2011,28,"36,570","37,301","39,166","44,761"
2011,29,"36,570","37,301","39,166","44,761"
2011,30,"36,570","37,301","39,166","44,761"
2011,31,"36,570","37,301","39,166","44,761"
2011,32,"36,570","37,301","39,166","44,761"
2011,33,"36,570","37,301","39,166","44,761"
2011,34,"36,570","37,301","39,166","44,761"
2011,35,"36,570","37,301","39,166","44,761"
2011,36,"36,570","37,301","39,166","44,761"
2012,1,"47,589","48,541","53,395","60,676"
2012,2,"47,589","48,541","53,395","60,676"
2012,3,"47,589","48,541","53,395","60,676"
2012,4,"47,589","48,541","53,395","60,676"
2012,5,"44,020","44,900","49,390","56,125"
2012,6,"44,020","44,900","49,390","56,125"
2012,7,"44,020","44,900","49,390","56,125"
2012,8,"44,020","44,900","49,390","56,125"
2012,9,"39,261","40,046","44,051","50,058"
2012,10,"39,261","40,046","44,051","50,058"
2012,11,"39,261","40,046","44,051","50,058"
2012,12,"39,261","40,046","44,051","50,058"
2012,13,"37,800","38,556","42,412","48,195"
2012,14,"37,800","38,556","42,412","48,195"
2012,15,"37,800","38,556","42,412","48,195"
2012,16,"37,800","38,556","42,412","48,195"
2012,17,"37,800","38,556","42,412","48,195"
2012,18,"37,800","38,556","42,412","48,195"
2012,19,"37,800","38,556","42,412","48,195"
2012,20,"37,800","38,556","42,412","48,195"
2012,21,"37,800","38,556","42,412","48,195"
2012,22,"37,800","38,556","42,412","48,195"
2012,23,"37,800","38,556","42,412","48,195"
2012,24,"37,800","38,556","42,412","48,195"
2012,25,"37,260","38,005","39,905","45,606"
2012,26,"37,260","38,005","39,905","45,606"
2012,27,"37,260","38,005","39,905","45,606"
2012,28,"37,260","38,005","39,905","45,606"
2012,29,"37,260","38,005","39,905","45,606"
2012,30,"37,260","38,005","39,905","45,606"
2012,31,"37,260","38,005","39,905","45,606"
2012,32,"37,260","38,005","39,905","45,606"
2012,33,"37,260","38,005","39,905","45,606"
2012,34,"37,260","38,005","39,905","45,606"
2012,35,"37,260","38,005","39,905","45,606"
2012,36,"37,260","38,005","39,905","45,606"
2013,1,"48,470","49,440","54,384","61,800"
2013,2,"48,470","49,440","54,384","61,800"
2013,3,"48,470","49,440","54,384","61,800"
2013,4,"48,470","49,440","54,384","61,800"
2013,5,"44,835","45,732","50,305","57,165"
2013,6,"44,835","45,732","50,305","57,165"
2013,7,"44,835","45,732","50,305","57,165"
2013,8,"44,835","45,732","50,305","57,165"
2013,9,"39,988","40,788","44,867","50,985"
2013,10,"39,988","40,788","44,867","50,985"
2013,11,"39,988","40,788","44,867","50,985"
2013,12,"39,988","40,788","44,867","50,985"
2013,13,"38,500","39,270","43,197","49,088"
2013,14,"38,500","39,270","43,197","49,088"
2013,15,"38,500","39,270","43,197","49,088"
2013,16,"38,500","39,270","43,197","49,088"
2013,17,"38,500","39,270","43,197","49,088"
2013,18,"38,500","39,270","43,197","49,088"
2013,19,"38,500","39,270","43,197","49,088"
2013,20,"38,500","39,270","43,197","49,088"
2013,21,"38,500","39,270","43,197","49,088"
2013,22,"38,500","39,270","43,197","49,088"
2013,23,"38,500","39,270","43,197","49,088"
2013,24,"38,500","39,270","43,197","49,088"
2013,25,"37,950","38,709","40,644","46,450"
2013,26,"37,950","38,709","40,644","46,450"
2013,27,"37,950","38,709","40,644","46,450"
2013,28,"37,950","38,709","40,644","46,450"
2013,29,"37,950","38,709","40,644","46,450"
2013,30,"37,950","38,709","40,644","46,450"
2013,31,"37,950","38,709","40,644","46,450"
2013,32,"37,950","38,709","40,644","46,450"
2013,33,"37,950","38,709","40,644","46,450"
2013,34,"37,950","38,709","40,644","46,450"
2013,35,"37,950","38,709","40,644","46,450"
2013,36,"37,950","38,709","40,644","46,450"
2014,1,"48,670","49,644","54,609","62,055"
2014,2,"48,670","49,644","54,609","62,055"
2014,3,"48,670","49,644","54,609","62,055"
2014,4,"48,670","49,644","54,609","62,055"
2014,5,"45,035","45,936","50,530","57,420"
2014,6,"45,035","45,936","50,530","57,420"
2014,7,"45,035","45,936","50,530","57,420"
2014,8,"45,035","45,936","50,530","57,420"
2014,9,"40,188","40,992","45,092","51,240"
2014,10,"40,188","40,992","45,092","51,240"
2014,11,"40,188","40,992","45,092","51,240"
2014,12,"40,188","40,992","45,092","51,240"
2014,13,"38,700","39,474","43,422","49,343"
2014,14,"38,700","39,474","43,422","49,343"
2014,15,"38,700","39,474","43,422","49,343"
2014,16,"38,700","39,474","43,422","49,343"
2014,17,"38,700","39,474","43,422","49,343"
2014,18,"38,700","39,474","43,422","49,343"
2014,19,"38,700","39,474","43,422","49,343"
2014,20,"38,700","39,474","43,422","49,343"
2014,21,"38,700","39,474","43,422","49,343"
2014,22,"38,700","39,474","43,422","49,343"
2014,23,"38,700","39,474","43,422","49,343"
2014,24,"38,700","39,474","43,422","49,343"
2014,25,"38,150","38,913","40,859","46,696"
2014,26,"38,150","38,913","40,859","46,696"
2014,27,"38,150","38,913","40,859","46,696"
2014,28,"38,150","38,913","40,859","46,696"
2014,29,"38,150","38,913","40,859","46,696"
2014,30,"38,150","38,913","40,859","46,696"
2014,31,"38,150","38,913","40,859","46,696"
2014,32,"38,150","38,913","40,859","46,696"
2014,33,"38,150","38,913","40,859","46,696"
2014,34,"38,150","38,913","40,859","46,696"
2014,35,"38,150","38,913","40,859","46,696"
2014,36,"38,150","38,913","40,859","46,696"
2015,1,"49,644","50,637","55,701","63,297"
2015,2,"49,644","50,637","55,701","63,297"
2015,3,"49,644","50,637","55,701","63,297"
2015,4,"49,644","50,637","55,701","63,297"
2015,5,"45,936","46,855","51,541","58,569"
2015,6,"45,936","46,855","51,541","58,569"
2015,7,"45,936","46,855","51,541","58,569"
2015,8,"45,936","46,855","51,541","58,569"
2015,9,"40,992","41,812","45,994","52,265"
2015,10,"40,992","41,812","45,994","52,265"
2015,11,"40,992","41,812","45,994","52,265"
2015,12,"40,992","41,812","45,994","52,265"
2015,13,"39,474","40,264","44,291","50,330"
2015,14,"39,474","40,264","44,291","50,330"
2015,15,"39,474","40,264","44,291","50,330"
2015,16,"39,474","40,264","44,291","50,330"
2015,17,"39,474","40,264","44,291","50,330"
2015,18,"39,474","40,264","44,291","50,330"
2015,19,"39,474","40,264","44,291","50,330"
2015,20,"39,474","40,264","44,291","50,330"
2015,21,"39,474","40,264","44,291","50,330"
2015,22,"39,474","40,264","44,291","50,330"
2015,23,"39,474","40,264","44,291","50,330"
2015,24,"39,474","40,264","44,291","50,330"
2015,25,"38,913","39,692","41,677","47,631"
2015,26,"38,913","39,692","41,677","47,631"
2015,27,"38,913","39,692","41,677","47,631"
2015,28,"38,913","39,692","41,677","47,631"
2015,29,"38,913","39,692","41,677","47,631"
2015,30,"38,913","39,692","41,677","47,631"
2015,31,"38,913","39,692","41,677","47,631"
2015,32,"38,913","39,692","41,677","47,631"
2015,33,"38,913","39,692","41,677","47,631"
2015,34,"38,913","39,692","41,677","47,631"
2015,35,"38,913","39,692","41,677","47,631"
2015,36,"38,913","39,692","41,677","47,631"
2016,1,"50,617","51,630","56,793","64,538"
2016,2,"50,617","51,630","56,793","64,538"
2016,3,"50,617","51,630","56,793","64,538"
2016,4,"50,617","51,630","56,793","64,538"
2016,5,"46,837","47,774","52,552","59,718"
2016,6,"46,837","47,774","52,552","59,718"
2016,7,"46,837","47,774","52,552","59,718"
2016,8,"46,837","47,774","52,552","59,718"
2016,9,"41,796","42,632","46,896","53,290"
2016,10,"41,796","42,632","46,896","53,290"
2016,11,"41,796","42,632","46,896","53,290"
2016,12,"41,796","42,632","46,896","53,290"
2016,13,"40,248","41,053","45,159","51,317"
2016,14,"40,248","41,053","45,159","51,317"
2016,15,"40,248","41,053","45,159","51,317"
2016,16,"40,248","41,053","45,159","51,317"
2016,17,"40,248","41,053","45,159","51,317"
2016,18,"40,248","41,053","45,159","51,317"
2016,19,"40,248","41,053","45,159","51,317"
2016,20,"40,248","41,053","45,159","51,317"
2016,21,"40,248","41,053","45,159","51,317"
2016,22,"40,248","41,053","45,159","51,317"
2016,23,"40,248","41,053","45,159","51,317"
2016,24,"40,248","41,053","45,159","51,317"
2016,25,"39,676","40,470","42,494","48,564"
2016,26,"39,676","40,470","42,494","48,564"
2016,27,"39,676","40,470","42,494","48,564"
2016,28,"39,676","40,470","42,494","48,564"
2016,29,"39,676","40,470","42,494","48,564"
2016,30,"39,676","40,470","42,494","48,564"
2016,31,"39,676","40,470","42,494","48,564"
2016,32,"39,676","40,470","42,494","48,564"
2016,33,"39,676","40,470","42,494","48,564"
2016,34,"39,676","40,470","42,494","48,564"
2016,35,"39,676","40,470","42,494","48,564"
2016,36,"39,676","40,470","42,494","48,564"
2017,1,"51,591","52,623","57,886","65,779"
2017,2,"51,591","52,623","57,886","65,779"
2017,3,"51,591","52,623","57,886","65,779"
2017,4,"51,591","52,623","57,886","65,779"
2017,5,"47,738","48,693","53,563","60,867"
2017,6,"47,738","48,693","53,563","60,867"
2017,7,"47,738","48,693","53,563","60,867"
2017,8,"47,738","48,693","53,563","60,867"
2017,9,"42,600","43,452","47,798","54,315"
2017,10,"42,600","43,452","47,798","54,315"
2017,11,"42,600","43,452","47,798","54,315"
2017,12,"42,600","43,452","47,798","54,315"
2017,13,"41,022","41,843","46,028","52,304"
2017,14,"41,022","41,843","46,028","52,304"
2017,15,"41,022","41,843","46,028","52,304"
2017,16,"41,022","41,843","46,028","52,304"
2017,17,"41,022","41,843","46,028","52,304"
2017,18,"41,022","41,843","46,028","52,304"
2017,19,"41,022","41,843","46,028","52,304"
2017,20,"41,022","41,843","46,028","52,304"
2017,21,"41,022","41,843","46,028","52,304"
2017,22,"41,022","41,843","46,028","52,304"
2017,23,"41,022","41,843","46,028","52,304"
2017,24,"41,022","41,843","46,028","52,304"
2017,25,"40,439","41,248","43,311","49,498"
2017,26,"40,439","41,248","43,311","49,498"
2017,27,"40,439","41,248","43,311","49,498"
2017,28,"40,439","41,248","43,311","49,498"
2017,29,"40,439","41,248","43,311","49,498"
2017,30,"40,439","41,248","43,311","49,498"
2017,31,"40,439","41,248","43,311","49,498"
2017,32,"40,439","41,248","43,311","49,498"
2017,33,"40,439","41,248","43,311","49,498"
2017,34,"40,439","41,248","43,311","49,498"
2017,35,"40,439","41,248","43,311","49,498"
2017,36,"40,439","41,248","43,311","49,498"
2018,1,"52,564","53,616","58,978","67,020"
2018,2,"52,564","53,616","58,978","67,020"
