PLAYER,2023 TYPE,2023,2024 TYPE,2024,2025 TYPE,2025,2026 TYPE,2026,2027 TYPE,2027,CORE YEARS,,
Arike Ogunbowale ,V,"$234,936 ",V,"$241,984 ",V,"$249,032 ",UFA,,,,,,
Natasha Howard ,V,"$227,900 ",V,"$234,350 ",UFA,,,,,,"2021, 2022, 2023, 2024",,
Teaira McCowan ,V,"$190,000 ",V,"$195,700 ",V,"$201,400 ",UFA,,,,,,
Diamond DeShields,V,"$154,500 ",UFA,,,,,,,,,,
Satou Sabally ,R,"$86,701 ",RFA,,,,,,,,,,
Crystal Dangerfield ,U,"$80,000 ",U,"$80,000 ",UFA,,,,,,,,
Charli Collier ,U,"$78,586 ",OPT,"$89,302 ",RFA,,,,,,,,
Awak Kuier ,U,"$78,586 ",R,"$89,302 ",RFA,,,,,,,,
Kalani Brown,TC,"$74,305 ",RFA,,,,,,,,,,
Veronica Burton,U,"$70,609 ",U,"$77,669 ",OPT,"$88,261 ",RFA,,,,,,
Kitija Laksa,U,"$70,000 ",Reserved,,,,,,,,,,
Jasmine Dickey,U,"$62,285 ",U,"$64,767 ",OPT,"$74,019 ",RFA,,,,,,
Bella Alarie ,Full Susp,,SuspCE,,,,,,,,,,
Total Salaries (excl. TC),,"$1,334,103 ",,"$1,073,074 ",,"$612,712 ",,$0 ,,$0 ,,,
Total Players (excl. TC),,11 ,,8 ,,4 ,,0 ,,0,,,
Cap Room,,"$86,397 ",,"$390,126 ",,"$894,388 ",,"$1,552,300 ",,"$1,598,800 ",,,
Open Roster Slots,,0 to 1 ,,3 to 4 ,,7 to 8 ,,,,,,,
Above/Below Minimum,,"$145,113 ",,"-$151,556 ",,"-$648,728 ",,"-$1,299,240 ",,"-$1,338,210 ",,,
Total Guaranteed Salary,,"$894,037 ",,"$761,336 ",,"$450,432 ",,$0 ,,$0 ,,,
Total Protected Veterans,,4 ,,3 ,,2 ,,0 ,,0 ,,,
Open Protected Veteran Slots,,2 ,,3 ,,4 ,,6 ,,6,,,
Core Player,Available ,,Available ,,Available ,,Available ,,Available ,,,,
2023 Round 1 Pick 11 (11) (CHI),U,"$68,295 ",U,"$69,663 ",UFA,"$76,630 ",OPT,"$87,080 ",RFA,,,,
2023 Round 1 Pick 3 (3) (ATL),U,"$74,305 ",U,"$75,792 ",UFA,"$83,371 ",OPT,"$94,740 ",RFA,,,,
2023 Round 1 Pick 5 (5) (PHO),U,"$71,300 ",U,"$72,727 ",UFA,"$79,999 ",OPT,"$90,908 ",RFA,,,,
2023 Round 2 Pick 7 (19) (DAL),U,"$65,290 ",U,"$66,597 ",UFA,"$73,258 ",OPT,"$83,248 ",RFA,,,,
2023 Round 3 Pick 7 (31) (DAL),U,"$62,285 ",U,"$63,532 ",UFA,"$66,710 ",OPT,"$76,240 ",RFA,,,,
2024 Round 1 Pick ? (?) (CHI),,,U,"$??,??? ",UFA,"$??,??? ",U,"$??,??? ",OPT,"$??,??? ",,,
2024 Round 1 Pick ? (?) (DAL),,,U,"$??,??? ",UFA,"$??,??? ",U,"$??,??? ",OPT,"$??,??? ",,,
2024 Round 2 Pick ? (?) (DAL),,,U,"$67,249 ",UFA,"$68,595 ",U,"$75,456 ",OPT,"$85,745 ",,,
2024 Round 3 Pick ? (?) (DAL),,,U,"$64,154 ",UFA,"$65,438 ",U,"$68,711 ",OPT,"$78,527 ",,,
2025 Round 1 Pick ? (?) (ATL),,,,,UFA,"$??,??? ",U,"$??,??? ",U,"$??,??? ",,,
2025 Round 1 Pick ? (?) (DAL),,,,,UFA,"$??,??? ",U,"$??,??? ",U,"$??,??? ",,,
2025 Round 2 Pick ? (?) (DAL),,,,,UFA,"$69,267 ",U,"$70,653 ",U,"$77,720 ",,,
2025 Round 3 Pick ? (?) (DAL),,,,,UFA,"$66,079 ",U,"$67,401 ",U,"$70,773 ",,,