PLAYER,2023 TYPE,2023,2024 TYPE,2024,2025 TYPE,2025,2026 TYPE,2026,2027 TYPE,2027,CORE YEARS,,,,,,,
Elena Delle Donne ,V,"$234,350 ",UFA,,,,,,,,,,,,,,,
Brittney Sykes ,V,"$190,000 ",V,"$190,000 ",V,"$195,000 ",UFA,,,,,,,,,,,
Natasha Cloud,V,"$190,000 ",UFA,,,,,,,,,,,,,,,
Myisha Hines-Allen ,V,"$175,100 ",V,"$180,200 ",UFA,,,,,,,,,,,,,
Ariel Atkins ,V,"$175,000 ",UFA,,,,,,,,,,,,,,,
Shatori Walker-Kimbrough,V,"$95,000 ",U,"$97,850 ",UFA,,,,,,,,,,,,,
Tianna Hawkins ,TC,"$74,305 ",UFA,,,,,,,,,,,,,,,
Amanda Zahui B. ,TC,"$74,305 ",UFA,,,,,,,,,,,,,,,
Shakira Austin,U,"$73,584 ",U,"$80,943 ",OPT,"$91,981 ",RFA,,,,,,,,,,,
Li Meng,TC,"$62,285 ",Reserved,,,,,,,,,,,,,,,
Alisia Jenkins,TC,"$62,285 ",RFA,,,,,,,,,,,,,,,
Jazmine Jones ,TC,"$62,285 ",RFA,,,,,,,,,,,,,,,
Stephanie Jones ,TC,"$62,285 ",Reserved,,,,,,,,,,,,,,,
Evina Westbrook,TC,"$62,285 ",Reserved,,,,,,,,,,,,,,,
Rui Machida,UFA,,,,,,,,,,,,,,,,,
Jazmine Jones ,Reserved,,,,,,,,,,,,,,,,,
Klara Lundquist,SuspCE,,,,,,,,,,,,,,,,,
Total Salaries (excl. TC),,"$1,133,034 ",,"$548,993 ",,"$286,981 ",,$0 ,,$0 ,,,,,,,,
Total Players (excl. TC),,7 ,,4 ,,2 ,,0 ,,0,,,,,,,,
Cap Room,,"$287,466 ",,"$914,207 ",,"$1,220,119 ",,"$1,552,300 ",,"$1,598,800 ",,,,,,,,
Open Roster Slots,,4 to 5 ,,7 to 8 ,,9 to 10 ,,,,,,,,,,,,
Above/Below Minimum,,"-$55,956 ",,"-$675,637 ",,"-$974,459 ",,"-$1,299,240 ",,"-$1,338,210 ",,,,,,,,
Total Guaranteed Salary,,"$1,059,450 ",,"$370,200 ",,"$195,000 ",,$0 ,,$0 ,,,,,,,,
Total Protected Veterans,,6 ,,2 ,,1 ,,0 ,,,,,,,,,,
Open Protected Veteran Slots,,0 ,,4 ,,5 ,,6 ,,6,,,,,,,,
Core Player,Available ,,Available ,,Available ,,Available ,,Available,,,,,,,,,
2023 Round 1 Pick 4 (4) (LAS),U,"$74,305 ",U,"$75,792 ",U,"$83,371 ",OPT,"$94,740 ",RFA,,,,,,,,,
2023 Round 2 Pick 8 (20) (WAS),U,"$65,290 ",U,"$66,597 ",U,"$73,258 ",OPT,"$83,248 ",RFA,,,,,,,,,
2023 Round 3 Pick 8 (32) (WAS),U,"$62,285 ",U,"$63,532 ",U,"$66,710 ",OPT,"$76,240 ",RFA,,,,,,,,,
2024 Round 1 Pick ? (?) (WAS),,,U,"$??,??? ",U,"$??,??? ",U,"$??,??? ",OPT,"$??,???",,,,,,,,
2024 Round 3 Pick ? (?) (WAS),,,U,"$64,154 ",U,"$65,438 ",U,"$68,711 ",OPT,"$78,527 ",,,,,,,,
2025 Round 1 Pick ? (?) (WAS),,,,,U,"$??,??? ",U,"$??,??? ",U,"$??,??? ",,,,,,,,
2025 Round 3 Pick ? (?) (WAS),,,,,U,"$66,079 ",U,"$67,401 ",U,"$70,773 ",,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,